"code","name","years","year","age","mx","mx_f","mx_m","lx","lx_f","lx_m","ex","ex_f","ex_m","Total","Male","Female","best_practice","best_practice_alt"
"BLR","Belarus","(1955,1960]",1958,57,0.00923,0.00627,0.014445,0.822605,0.861295,0.77134,22.225,23.675,19.92,66621.795,23956.975,42664.82,0,1
"BLR","Belarus","(1955,1960]",1958,59,0.009705,0.007155,0.01464,0.80628,0.849595,0.747325,20.655,21.99,18.53,69327.25,23905.42,45421.83,0,1
"BLR","Belarus","(1955,1960]",1958,61,0.009625,0.00635,0.015725,0.78378,0.83118,0.71762,19.215,20.45,17.25,58268.23,20775.765,37492.465,0,1
"BLR","Belarus","(1955,1960]",1958,66,0.016985,0.01189,0.025805,0.72004,0.77888,0.637855,15.665,16.625,14.065,51775.345,19117.725,32657.62,0,1
"BLR","Belarus","(1955,1960]",1958,68,0.02462,0.01884,0.034855,0.692105,0.75574,0.60335,14.26,15.105,12.81,44063.205,15518.505,28544.7,0,1
"BLR","Belarus","(1955,1960]",1958,69,0.021125,0.01625,0.03031,0.675295,0.74165,0.58272,13.6,14.38,12.245,37544.59,12891.965,24652.625,0,1
"BLR","Belarus","(1955,1960]",1958,71,0.021655,0.017065,0.031955,0.63509,0.703895,0.538115,12.39,13.085,11.165,44388.2,14026.485,30361.715,0,1
"BLR","Belarus","(1955,1960]",1958,74,0.04518,0.03995,0.05408,0.569005,0.64059,0.46768,10.625,11.205,9.6,25264.175,9479.895,15784.28,0,1
"BLR","Belarus","(1955,1960]",1958,76,0.047185,0.041285,0.05823,0.512465,0.58152,0.415485,9.675,10.235,8.68,25035.95,8733.085,16302.865,0,1
"BLR","Belarus","(1955,1960]",1958,77,0.050585,0.04358,0.06301,0.48885,0.55798,0.39204,9.12,9.645,8.17,18262.305,6819.3,11443.005,0,1
"BLR","Belarus","(1955,1960]",1958,79,0.059725,0.05619,0.06588,0.430565,0.498235,0.337155,8.205,8.665,7.325,14750.59,5405.51,9345.08,0,1
"BLR","Belarus","(1955,1960]",1958,81,0.063835,0.05807,0.076025,0.3618,0.42196,0.279,7.55,8.02,6.625,10141.75,3273.58,6868.17,0,1
"BLR","Belarus","(1955,1960]",1958,82,0.100545,0.08885,0.125245,0.339765,0.39844,0.259,7.01,7.465,6.105,8901.95,2885.68,6016.27,0,1
"BLR","Belarus","(1955,1960]",1958,83,0.092835,0.084265,0.1114,0.30741,0.36463,0.2288,6.7,7.115,5.85,8095.47,2532.235,5563.235,0,1
"BLR","Belarus","(1955,1960]",1958,84,0.102175,0.08772,0.135475,0.280395,0.33549,0.20474,6.295,6.685,5.48,7455.955,2243.4,5212.555,0,1
"BLR","Belarus","(1955,1960]",1958,86,0.13201,0.117095,0.166545,0.220295,0.269255,0.15299,5.735,6.065,5.005,4824.37,1494.035,3330.335,0,1
